,Device,frequency_component,operating_frequency_mhz,Algorithm,Threads,variant,kernel_runtime,roi_runtime,run_power_w,energy_j,edp_j_s,kernel_runtime_std,roi_runtime_std,run_power_w_std,energy_j_std,edp_j_s_std
35,JetsonOrinNanoSuper,GPU,714.0,KMeans,,clvk→ONS,669.8975308333333,716.6047223333334,11.335606060606061,7.59369662096591,5.087000994769337,0.31952692411153066,0.3977396932435457,0.02672428348569357,0.01929089996554502,0.014211535922367884
36,JetsonOrinNanoSuper,GPU,714.0,SPMV,1.0,CUDA→ONS,5.625021833333334,34.133505,13.466666666666669,0.07575031043636364,0.00042609732400230427,0.0026972289051298286,0.04458720017224707,0.014564381625089357,0.00010492709625077636,7.534520757477632e-07
37,JetsonOrinNanoSuper,GPU,714.0,SPMV,,clvk→ONS,7.374083833333334,89.14775233333334,10.86287878787879,0.08010394090984849,0.000590699049986442,0.022738318217640215,0.16776276849607105,0.016618387373572133,0.00032740888835738473,4.180015560846997e-06
38,JetsonOrinNanoSuper,GPU,714.0,SRAD,,CUDA→ONS,10.42207,18.727209333333334,14.315624999999999,0.149197772509375,0.001554971346737991,0.04906352094581092,0.08948698162004719,0.019665165903190198,0.0005427690540606435,1.2901396426638072e-05
39,JetsonOrinNanoSuper,GPU,714.0,SRAD,,clvk→ONS,7.2810245,12.635938666666666,16.611666666666668,0.12095062384500001,0.0008806771948478516,0.04484187375991321,0.27789781530531404,0.019407902170680218,0.0008777526233790488,1.1821596619447481e-05
40,JetsonOrinNanoSuper,GPU,816.0,BFS,,CUDA→ONS,173.86351449999998,246.79166933333332,14.594047619047616,2.5373699850345237,0.44115776928500233,0.4186581482836647,0.4364702612140677,0.02277515055917768,0.006176453376302027,0.0020208168124919864
41,JetsonOrinNanoSuper,GPU,816.0,BFS,,clvk→ONS,209.05278733333333,415.69654583333335,12.428333333333333,2.598176585437917,0.5431566433661382,0.2822449848785138,0.29817072376770887,0.014548768561864189,0.0037976533436007986,0.0013900008705616486
42,JetsonOrinNanoSuper,GPU,816.0,FFT,,CUDA→ONS,0.06368,0.22752866666666668,10.717857142857142,0.0006825171232142857,4.346436549615417e-08,0.0003993048960381035,0.005519004825751346,0.029880715233360684,5.329424403120862e-06,6.016738206755932e-10
43,JetsonOrinNanoSuper,GPU,816.0,FFT,,clvk→ONS,0.03194983333333334,2.5639046666666663,10.204545454545455,0.0003260331242424242,1.0419100822172728e-08,0.0005322966904524848,0.09249862259226689,0.005749595745760895,5.406490758621831e-06,3.4569814514502897e-10
44,JetsonOrinNanoSuper,GPU,816.0,KMeans,,CUDA→ONS,665.348348,681.9858121666667,12.521969696969697,8.331473068659092,5.5433484080418856,1.2290352142333196,1.2691476743785641,0.04856763765098405,0.0361230967408336,0.03004259270986543
45,JetsonOrinNanoSuper,GPU,816.0,KMeans,,clvk→ONS,661.4170268333334,708.0933218333333,11.431818181818182,7.561196584340152,5.0011050064715645,0.5193248443428965,0.513377529070923,0.0121967344227244,0.0072782125328910595,0.006977046032726083
