Banks,algorithm_family,dev_backend,frequency_component,operating_frequency_mhz,mflops_per_w,throughput,run_power_w,mflops_per_w_std,throughput_std,run_power_w_std
4,OLA,nano_cufft,GPU,306.0,1549.8819084759582,1932985.6495387626,10.407894736842104,5.475703368901814,5845.577585133369,0.051217855266116344
4,OLA,nano_cufft,GPU,408.0,1745.4853227683827,2249837.729975969,10.756335282651072,4.216410448950009,4741.056686092115,0.02749077131813947
4,OLA,nano_cufft,GPU,510.0,1871.2569047991722,2496306.3006431386,11.132523616734142,3.756930291734039,4830.814184863161,0.02886121963746427
4,OLA,nano_cufft,GPU,612.0,1955.4663981913652,2669525.8119239905,11.392307692307691,6.495901101187097,10155.833559808629,0.02175713172881784
4,OLA,nano_cufft,GPU,714.0,2008.075807376323,2789786.362921749,11.59358974358974,12.287397470932051,18195.00985303243,0.008992655341922265
4,OLA,nano_cufft,GPU,816.0,2035.769506660731,2868107.145495717,11.756944444444445,3.937665941236962,6728.749524344951,0.009442172059069345
4,OLA,nano_cufft,GPU,918.0,2006.5935960110176,2936590.85997469,12.212820512820512,8.036623528237719,4663.936912711931,0.036298129988075446
4,OLA,nano_cufft,GPU,1020.0,1959.5344549533927,2976736.2727435064,12.676923076923076,6.852507034998715,14100.487040774737,0.017541160386140044
4,UPF-OS,RPi_clfft,GPU,500.0,207.97190455199726,106900.70164897064,3.7028070175438597,2.7259082448241987,329.54774524414364,0.03851346732354322
4,UPF-OS,RPi_clfft,GPU,550.0,219.60124355716866,114560.57617805502,3.7576923076923077,1.550172385880998,270.1524347322395,0.022689048005773184
4,UPF-OS,RPi_clfft,GPU,600.0,230.65438590222337,121359.19647033146,3.791025641025641,4.536090898671304,354.45825040069974,0.07511989102503697
4,UPF-OS,RPi_clfft,GPU,650.0,235.69910376303588,128404.43224823738,3.924358974358974,2.505201432566701,185.16604318198387,0.041685400127939726
4,UPF-OS,RPi_clfft,GPU,700.0,246.24552201941006,134846.8928469308,3.94508547008547,3.469905833613077,380.9735315639144,0.060917900295194095
4,UPF-OS,RPi_clfft,GPU,750.0,261.25681302392496,143855.58466258092,3.9679487179487176,6.129948409115937,158.5530251478509,0.09388607809866946
4,UPF-OS,RPi_clfft,GPU,800.0,264.695341069898,150094.04693344675,4.085897435897436,5.627495349294908,154.3972626066762,0.0872209554466903
4,UPF-OS,RPi_clfft,GPU,850.0,271.7134183961368,156482.4192784079,4.148717948717949,3.384787806651886,294.47917346935174,0.04953432057863933
4,UPF-OS,RPi_clfft,GPU,900.0,276.02165647263087,161713.24377886145,4.220512820512821,3.804191585128153,597.4319112469725,0.04929483011568313
4,UPF-OS,RPi_clfft,GPU,960.0,294.8940762258206,167859.3078214193,4.100828157349897,4.5290515194411345,573.6560609387506,0.06493896992325471
4,UPF-OS,RPi_fftw,CPU,1600.0,192.47110850454425,143614.63953390453,5.374603174603175,2.6718402233729712,1868.7227999995641,0.01992047682223968
4,UPF-OS,RPi_fftw,CPU,1700.0,198.82685169139606,149191.02195781458,5.404761904761905,2.859504054760177,2088.018300014128,0.010101525445522203
4,UPF-OS,RPi_fftw,CPU,1800.0,207.23780375094174,155000.5405607378,5.387301587301588,2.9331724706167264,2256.6422412801253,0.021951296326887942
4,UPF-OS,RPi_fftw,CPU,1900.0,212.84561619968022,160699.28607036642,5.438095238095238,3.098515417555696,2727.171734229644,0.03113499245386122
4,UPF-OS,RPi_fftw,CPU,2100.0,222.14369100586146,169625.24719726527,5.5,5.826718474418319,4449.185826961009,0.0
4,UPF-OS,RPi_fftw,CPU,2200.0,220.09707140594114,171456.65158726086,5.611111111111111,2.3610096172345663,2001.0828935895893,0.03333333333333366
4,UPF-OS,RPi_fftw,CPU,2300.0,221.71982343767067,175461.13602139792,5.699999999999999,4.878913111937066,4294.310071560973,0.04999999999999988
4,UPF-OS,RPi_fftw,CPU,2400.0,223.8487072517559,177486.52851175243,5.711111111111111,3.5173331730738995,2867.656699562058,0.033333333333333284
4,UPF-OS,nano_clfft,GPU,306.0,214.49569454681784,270624.22692492977,9.087719298245615,1.1830147798580506,1482.899941358191,0.0161936572059148
4,UPF-OS,nano_clfft,GPU,408.0,227.65639814476228,292239.36544262455,9.246153846153845,2.0480406606583816,3134.8939883128787,0.032996323983888035
4,UPF-OS,nano_clfft,GPU,510.0,239.4100867505489,312650.81814140204,9.406410256410256,2.5131555890739095,3278.8959167260596,0.01714309194917751
4,UPF-OS,nano_clfft,GPU,612.0,244.3121921347223,322749.08637310466,9.515384615384615,2.0872931093219265,2851.102014911007,0.024325212770525337
4,UPF-OS,nano_clfft,GPU,714.0,245.77496973930877,330194.53413239436,9.676923076923076,2.726130626481586,3808.4332014823685,0.018842228790641027
4,UPF-OS,nano_clfft,GPU,816.0,246.06736744802086,334403.94143064163,9.788675213675214,1.2254934013891887,1739.0251383215045,0.020261548628820465
4,UPF-OS,nano_clfft,GPU,918.0,246.9724701718316,348333.810734112,10.158760683760683,2.7896408834234943,5023.065661769899,0.03444322493652471
4,UPF-OS,nano_clfft,GPU,1020.0,240.38198800762564,352466.3057806678,10.561538461538463,3.685268789824324,5139.320255054842,0.027520836646151643
